Timestamp,GasPrice(Gwei),MinutesElapsed
2025-03-03 20:01:17.047670+00:00,7.028237134,0
2025-03-03 20:01:18.623325+00:00,7.028237134,0.026260917
2025-03-03 20:01:20.304759+00:00,7.028237134,0.054284817
2025-03-03 20:01:21.905245+00:00,7.028237134,0.080959583
2025-03-03 20:01:23.457179+00:00,7.193128167,0.10682515
2025-03-03 20:01:25.056918+00:00,7.193128167,0.133487467
2025-03-03 20:01:26.656754+00:00,7.193128167,0.1601514
2025-03-03 20:01:28.180466+00:00,7.193128167,0.1855466
2025-03-03 20:01:29.700259+00:00,7.193128167,0.210876483
2025-03-03 20:01:31.230006+00:00,7.193128167,0.236372267
2025-03-03 20:01:32.740672+00:00,7.193128167,0.261550033
2025-03-03 20:01:34.299508+00:00,6.586192493,0.287530633
2025-03-03 20:01:35.838756+00:00,6.586192493,0.313184767
2025-03-03 20:01:37.419674+00:00,6.586192493,0.3395334
2025-03-03 20:01:38.912920+00:00,6.586192493,0.364420833
2025-03-03 20:01:40.437583+00:00,6.586192493,0.389831883
2025-03-03 20:01:41.982642+00:00,6.586192493,0.415582867
2025-03-03 20:01:43.795705+00:00,7.408775507,0.445800583
2025-03-03 20:01:45.338429+00:00,7.408775507,0.47151265
2025-03-03 20:01:46.859779+00:00,7.408775507,0.496868483
2025-03-03 20:01:48.387886+00:00,7.408775507,0.522336933
2025-03-03 20:01:49.906336+00:00,7.408775507,0.547644433
2025-03-03 20:01:51.416799+00:00,7.408775507,0.572818817
2025-03-03 20:01:52.945362+00:00,7.408775507,0.598294867
2025-03-03 20:01:54.475579+00:00,7.914768583,0.623798483
2025-03-03 20:01:55.987016+00:00,7.914768583,0.6489891
2025-03-03 20:01:57.511775+00:00,7.914768583,0.67440175
2025-03-03 20:01:59.057041+00:00,7.914768583,0.700156183
2025-03-03 20:02:00.579909+00:00,7.914768583,0.725537317
2025-03-03 20:02:02.113747+00:00,7.914768583,0.751101283
2025-03-03 20:02:03.602811+00:00,7.914768583,0.775919017
2025-03-03 20:02:05.101519+00:00,8.20837465,0.800897483
2025-03-03 20:02:06.632034+00:00,8.20837465,0.826406067
2025-03-03 20:02:08.119199+00:00,8.20837465,0.85119215
2025-03-03 20:02:09.581602+00:00,8.20837465,0.875565533
2025-03-03 20:02:11.069549+00:00,8.20837465,0.90036465
2025-03-03 20:02:12.606198+00:00,8.20837465,0.925975467
2025-03-03 20:02:14.130393+00:00,8.20837465,0.951378717
2025-03-03 20:02:15.638732+00:00,8.20837465,0.9765177
2025-03-03 20:02:17.140622+00:00,8.20837465,1.0015492
2025-03-03 20:02:18.627647+00:00,8.20837465,1.02633295
2025-03-03 20:02:20.194655+00:00,8.20837465,1.05244975
2025-03-03 20:02:21.699090+00:00,8.20837465,1.077523667
2025-03-03 20:02:23.196641+00:00,8.20837465,1.10248285
2025-03-03 20:02:24.766736+00:00,7.335983787,1.1286511
2025-03-03 20:02:26.299264+00:00,7.335983787,1.154193233
2025-03-03 20:02:27.796930+00:00,7.335983787,1.179154333
2025-03-03 20:02:29.337481+00:00,7.335983787,1.204830183
2025-03-03 20:02:30.837659+00:00,7.335983787,1.22983315
2025-03-03 20:02:32.374053+00:00,7.335983787,1.255439717
2025-03-03 20:02:34.265691+00:00,6.802880547,1.286967017
2025-03-03 20:02:35.841950+00:00,6.802880547,1.313238
2025-03-03 20:02:37.731336+00:00,6.802880547,1.344727767
2025-03-03 20:02:39.223430+00:00,6.802880547,1.369596
2025-03-03 20:02:40.713619+00:00,6.802880547,1.394432483
2025-03-03 20:02:42.214769+00:00,6.802880547,1.41945165
2025-03-03 20:02:43.720361+00:00,6.802880547,1.44454485
2025-03-03 20:02:45.240335+00:00,6.289523094,1.46987775
2025-03-03 20:02:46.860853+00:00,6.289523094,1.496886383
2025-03-03 20:02:48.400032+00:00,6.289523094,1.522539367
2025-03-03 20:02:49.985167+00:00,6.289523094,1.548958283
2025-03-03 20:02:51.496111+00:00,6.289523094,1.574140683
2025-03-03 20:02:53.075957+00:00,6.289523094,1.60047145
2025-03-03 20:02:54.724788+00:00,7.075368486,1.627951967
2025-03-03 20:02:56.555070+00:00,7.075368486,1.658456667
2025-03-03 20:02:58.060379+00:00,7.075368486,1.68354515
2025-03-03 20:02:59.547906+00:00,7.075368486,1.708337267
2025-03-03 20:03:01.285845+00:00,7.075368486,1.737302917
2025-03-03 20:03:02.793146+00:00,7.075368486,1.7624246
2025-03-03 20:03:04.317229+00:00,7.075368486,1.787825983
2025-03-03 20:03:05.861271+00:00,7.116196526,1.813560017
2025-03-03 20:03:07.343036+00:00,7.116196526,1.8382561
2025-03-03 20:03:08.830247+00:00,7.116196526,1.86304295
2025-03-03 20:03:10.370835+00:00,7.116196526,1.888719417
2025-03-03 20:03:11.903291+00:00,7.116196526,1.91426035
2025-03-03 20:03:13.420880+00:00,7.116196526,1.9395535
2025-03-03 20:03:14.928196+00:00,8.005550599,1.964675433
2025-03-03 20:03:16.415166+00:00,8.005550599,1.989458267
2025-03-03 20:03:17.908082+00:00,8.005550599,2.0143402
2025-03-03 20:03:19.507717+00:00,8.005550599,2.041000783
2025-03-03 20:03:21.019276+00:00,8.005550599,2.066193433
2025-03-03 20:03:22.524962+00:00,8.005550599,2.0912882
2025-03-03 20:03:24.070470+00:00,8.005550599,2.117046667
